epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2411,0.87719,2.59113,1.20434,0.8264,0.25595,0.42727,0.28028,0.90216,2.32817,1.2276,0.000328283,0.000328283,0.000328283
2,35.6651,0.9259,1.73101,1.24999,0.54163,0.66002,0.62506,0.3769,1.05481,1.65511,1.41133,0.000653429,0.000653429,0.000653429
3,56.136,0.94885,1.55929,1.24407,0.5507,0.66624,0.64684,0.41066,1.01017,1.77283,1.35228,0.000970324,0.000970324,0.000970324
4,71.1856,0.92634,1.41411,1.23067,0.58069,0.64901,0.70885,0.47956,0.94892,1.61919,1.2842,0.000962875,0.000962875,0.000962875
5,86.563,0.95807,1.33159,1.24077,0.74072,0.69733,0.76449,0.49096,0.97586,1.09907,1.29239,0.0009505,0.0009505,0.0009505
6,101.439,0.96505,1.22125,1.24112,0.69362,0.64066,0.70476,0.43884,0.94806,1.05103,1.29426,0.000938125,0.000938125,0.000938125
7,115.913,0.90821,1.1186,1.19249,0.74727,0.72472,0.78621,0.53825,0.89037,0.91515,1.20468,0.00092575,0.00092575,0.00092575
8,130.492,0.91375,1.05343,1.19647,0.75246,0.75089,0.804,0.54243,0.91189,0.89303,1.22973,0.000913375,0.000913375,0.000913375
9,145.126,0.8921,0.97486,1.17366,0.8127,0.79037,0.86123,0.60052,0.88888,0.8757,1.21384,0.000901,0.000901,0.000901
10,159.828,0.84432,0.8857,1.16276,0.85631,0.81453,0.89538,0.61491,0.81601,0.71112,1.15667,0.000888625,0.000888625,0.000888625
11,174.43,0.86345,0.88182,1.17193,0.84843,0.84849,0.90405,0.6299,0.85372,0.71802,1.17777,0.00087625,0.00087625,0.00087625
12,189.034,0.84708,0.8357,1.15501,0.75274,0.84274,0.86236,0.61953,0.83319,0.89141,1.17261,0.000863875,0.000863875,0.000863875
13,203.754,0.85712,0.82962,1.18075,0.85298,0.81098,0.87526,0.59654,0.85662,0.73903,1.20816,0.0008515,0.0008515,0.0008515
14,218.2,0.81973,0.77716,1.13429,0.8819,0.85992,0.92402,0.64669,0.83369,0.69346,1.15609,0.000839125,0.000839125,0.000839125
15,232.5,0.83568,0.75067,1.15433,0.92329,0.89051,0.94481,0.68587,0.80281,0.60207,1.13216,0.00082675,0.00082675,0.00082675
16,246.738,0.81794,0.7395,1.14683,0.89415,0.90506,0.93135,0.67861,0.80463,0.63882,1.13386,0.000814375,0.000814375,0.000814375
17,261.496,0.81457,0.73417,1.13532,0.91616,0.91914,0.9424,0.69475,0.77544,0.58835,1.11469,0.000802,0.000802,0.000802
18,276.765,0.78045,0.69574,1.11587,0.90262,0.90801,0.95313,0.70351,0.74633,0.55166,1.08709,0.000789625,0.000789625,0.000789625
19,291.662,0.79119,0.70034,1.11666,0.89575,0.91318,0.94086,0.6907,0.76469,0.57217,1.09565,0.00077725,0.00077725,0.00077725
20,306.76,0.78069,0.68008,1.11504,0.9307,0.91453,0.95591,0.72642,0.73146,0.542,1.07498,0.000764875,0.000764875,0.000764875
21,321.915,0.77651,0.66892,1.11129,0.89061,0.91504,0.9395,0.69145,0.76968,0.56961,1.11901,0.0007525,0.0007525,0.0007525
22,336.755,0.77904,0.68314,1.10493,0.93819,0.90305,0.95403,0.71952,0.75794,0.52968,1.08564,0.000740125,0.000740125,0.000740125
23,351.924,0.75429,0.617,1.10573,0.92334,0.93209,0.95047,0.70692,0.72692,0.52994,1.07605,0.00072775,0.00072775,0.00072775
24,366.946,0.76175,0.63916,1.09323,0.89995,0.86583,0.94697,0.72473,0.71116,0.53963,1.05862,0.000715375,0.000715375,0.000715375
25,381.61,0.76295,0.62031,1.10987,0.92597,0.93326,0.96396,0.7511,0.69701,0.50846,1.0433,0.000703,0.000703,0.000703
26,397.151,0.7643,0.61963,1.1066,0.95885,0.93566,0.96667,0.75105,0.6946,0.47436,1.04444,0.000690625,0.000690625,0.000690625
