epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9592,0.78547,2.0067,1.10851,0.97,0.43074,0.62133,0.49859,0.74676,1.98794,1.04081,0.000465978,0.000465978,0.000465978
2,36.7333,0.78517,1.23908,1.08836,0.82867,0.55381,0.66811,0.47671,0.88997,1.57582,1.18405,0.000923654,0.000923654,0.000923654
3,51.6712,0.81981,1.18942,1.11921,0.74202,0.70816,0.79529,0.56551,0.949,1.25386,1.26002,0.00136247,0.00136247,0.00136247
4,69.6174,0.81722,1.06995,1.09876,0.6396,0.83224,0.74999,0.52217,0.82177,1.36556,1.11929,0.00134412,0.00134412,0.00134412
5,85.7544,0.80601,0.98038,1.09826,0.83715,0.78714,0.86015,0.5785,0.8369,0.92719,1.11964,0.00131582,0.00131582,0.00131582
6,101.14,0.7664,0.89042,1.08806,0.85368,0.71139,0.75879,0.57041,0.82561,0.92628,1.1301,0.00128753,0.00128753,0.00128753
7,115.869,0.7684,0.8163,1.08062,0.78615,0.95492,0.94138,0.66427,0.76722,0.80812,1.09441,0.00125923,0.00125923,0.00125923
8,133.961,0.74637,0.75344,1.07287,0.98415,0.96168,0.98568,0.7326,0.73197,0.59736,1.05038,0.00123094,0.00123094,0.00123094
9,149.764,0.75377,0.70074,1.07003,0.80398,0.82395,0.91199,0.70183,0.71017,0.66044,1.01354,0.00120265,0.00120265,0.00120265
10,164.829,0.70977,0.65178,1.04751,0.89788,0.96606,0.97968,0.75702,0.69705,0.55103,1.0154,0.00117435,0.00117435,0.00117435
11,178.675,0.7117,0.63277,1.04726,0.85256,0.91313,0.9542,0.73424,0.67949,0.53942,0.97686,0.00114606,0.00114606,0.00114606
12,189.32,0.67637,0.58906,1.03754,0.9691,0.97453,0.98592,0.80287,0.65354,0.47336,0.96035,0.00111776,0.00111776,0.00111776
13,200.152,0.67623,0.5696,1.02128,0.98113,0.97162,0.98863,0.80197,0.62974,0.44118,0.96446,0.00108947,0.00108947,0.00108947
